ID;Fecha;PrecioPromedio
459;15/06/2022;1.76
460;14/06/2022;1.75
461;13/06/2022;1.76
462;11/06/2022;1.76
463;10/06/2022;1.76
464;9/06/2022;1.76
465;8/06/2022;1.76
466;7/06/2022;1.76
467;6/06/2022;1.76
468;4/06/2022;1.76
469;3/06/2022;1.76
470;2/06/2022;1.76
471;1/06/2022;1.77
472;31/05/2022;1.77
473;30/05/2022;1.77
474;28/05/2022;1.77
475;27/05/2022;1.77
476;26/05/2022;1.77
477;25/05/2022;1.77
478;24/05/2022;1.77
479;23/05/2022;1.77
480;21/05/2022;1.77
481;20/05/2022;1.78
482;19/05/2022;1.78
483;18/05/2022;1.77
484;17/05/2022;1.78
485;16/05/2022;1.78
486;14/05/2022;1.78
487;13/05/2022;1.78
488;12/05/2022;1.79
489;11/05/2022;1.79
490;10/05/2022;1.78
491;9/05/2022;1.78
492;7/05/2022;1.78
493;6/05/2022;1.78
494;5/05/2022;1.79
495;4/05/2022;1.8
496;3/05/2022;1.8
497;2/05/2022;1.83
498;30/04/2022;1.83
499;29/04/2022;1.83
500;28/04/2022;1.83
501;27/04/2022;1.84
502;26/04/2022;1.83
503;25/04/2022;1.81
504;23/04/2022;1.82
505;22/04/2022;1.81
506;21/04/2022;1.82
507;20/04/2022;1.82
508;19/04/2022;1.82
509;18/04/2022;1.84
510;16/04/2022;1.84
511;13/04/2022;1.84
512;12/04/2022;1.84
513;11/04/2022;1.84
514;9/04/2022;1.83
515;8/04/2022;1.83
516;7/04/2022;1.83
517;6/04/2022;1.83
518;5/04/2022;1.83
519;4/04/2022;1.82
520;2/04/2022;1.8
521;1/04/2022;1.8
522;31/03/2022;1.78
523;30/03/2022;1.77
524;29/03/2022;1.77
525;28/03/2022;1.76
526;26/03/2022;1.71
527;25/03/2022;1.71
528;24/03/2022;1.71
529;23/03/2022;1.7
530;22/03/2022;1.69
531;21/03/2022;1.69
532;19/03/2022;1.69
533;18/03/2022;1.68
534;17/03/2022;1.69
535;16/03/2022;1.69
536;15/03/2022;1.68
537;14/03/2022;1.68
538;13/03/2022;1.68
539;12/03/2022;1.68
540;11/03/2022;1.69
541;10/03/2022;1.68
542;9/03/2022;1.69
543;8/03/2022;1.69
544;7/03/2022;1.68
545;5/03/2022;1.68
546;4/03/2022;1.69
547;3/03/2022;1.71
548;2/03/2022;1.7
549;1/03/2022;1.68
550;28/02/2022;1.68
551;26/02/2022;1.69
552;25/02/2022;1.69
553;24/02/2022;1.69
554;23/02/2022;1.69
555;22/02/2022;1.69
556;21/02/2022;1.69
557;19/02/2022;1.69
558;18/02/2022;1.71
559;17/02/2022;1.71
560;16/02/2022;1.73
561;15/02/2022;1.78
562;14/02/2022;1.78
563;12/02/2022;1.79
564;11/02/2022;1.79
565;10/02/2022;1.79
566;9/02/2022;1.8
567;8/02/2022;1.82
568;7/02/2022;1.82
569;5/02/2022;1.82
570;4/02/2022;1.82
571;3/02/2022;1.82
572;2/02/2022;1.83
573;1/02/2022;1.83
574;31/01/2022;1.83
575;29/01/2022;1.84
576;28/01/2022;1.84
577;27/01/2022;1.85
578;26/01/2022;1.85
579;25/01/2022;1.85
580;24/01/2022;1.85
581;22/01/2022;1.85
582;21/01/2022;1.85
583;20/01/2022;1.85
